Features,PC1,PC2,PC3,PC4,PC5
Kappa3,0.7252279519514556,0.13470625126792685,0.02074405640981968,0.29975625562606395,0.26792835095692674
LabuteASA,0.9685471300447549,0.06994232979395497,0.18059263768457834,0.05554256272864455,0.013977676818850197
PEOE_VSA1,0.5205540095686861,0.3570626182592956,0.28581196437152623,0.30808163901242414,0.2622500658565914
PEOE_VSA10,0.15921730688237132,0.04773511005529113,0.04629995123177997,0.36304348311461526,0.0010191892355135722
PEOE_VSA11,0.08673142238260272,0.11814393792089943,0.01063178381483432,0.24678445905938573,0.08172462727945105
PEOE_VSA12,0.38412992994832496,0.3105926439428508,0.04074907353565504,0.25608894038054536,0.049556025187592896
PEOE_VSA13,0.17781090468211147,0.2316630060053217,0.042967032596862194,0.10734731400890005,0.1739658524271391
PEOE_VSA14,0.1269101300126153,0.16443478684920326,0.12016440816799813,0.02902329475712883,0.11211651836539038
PEOE_VSA2,0.3920798516415281,0.3827695304638144,0.1394889689332775,0.5016491933130155,0.039310004138473846
PEOE_VSA3,0.08746478324963244,0.12863139622161418,0.04450893105679981,0.15416211975792113,0.5617866902199622
PEOE_VSA4,0.018202729708071443,0.013232577390945749,0.0717477875096394,0.027547319744472137,0.3991223838667489
PEOE_VSA5,0.0679066147517329,0.0013017075519062228,0.054725156037408136,0.01524010208755709,0.29760229958319906
PEOE_VSA6,0.11299392869231543,0.22295363284981337,0.5121534948052652,0.21032023238596173,0.3036999611461853
PEOE_VSA7,0.34453606407558296,0.30952095550911385,0.397618593296263,0.11473727845480688,0.23056886843574617
PEOE_VSA8,0.3411107063348387,0.15377946140707627,0.1012767329195387,0.14456194609354941,0.2105216352139872
PEOE_VSA9,0.2708826642177175,0.2052094817988936,0.25397482828887763,0.2702823966666055,0.09980609100612269
SMR_VSA1,0.5644737190461334,0.44420153529356843,0.2139676002085462,0.4984984140015631,0.2794139721935617
SMR_VSA10,0.3837787186864624,0.5520042878429522,0.09201705450775577,0.1530312646621793,0.3178635696005262
SMR_VSA2,0.05911562723906248,0.012027405913560675,0.055104389946721115,0.02277833958000994,0.0677093449130898
SMR_VSA3,0.2686543109588381,0.11963792619342442,0.306671795938148,0.3567023519330881,0.5023654239101605
SMR_VSA4,0.21274476050499116,0.06717703417211102,0.12340411202714034,0.2588160022019718,0.12785158758595175
SMR_VSA5,0.43206047365791084,0.43730438615697276,0.27264063147029155,0.10888181678335757,0.3322960766092799
SMR_VSA6,0.37715665459493,0.3008795861175996,0.20150792689910466,0.03755761580959158,0.18105163255292672
SMR_VSA7,0.162681442922391,0.021110334826467965,0.7740247914923337,0.08602067152888504,0.007800132490052248
SMR_VSA8,0.0,0.0,0.0,0.0,0.0
SMR_VSA9,0.0430967441436858,0.04226639442703513,0.4462160113760043,0.32269566477035977,0.08210591144176087
SlogP_VSA1,0.4184872798894687,0.3954062219588668,0.13238966283376197,0.2333274964446898,0.014830052498203915
SlogP_VSA10,0.10438697191974898,0.13813940182882023,0.057792597012853705,0.16356019454822945,0.345122193275622
SlogP_VSA11,0.013816250836035908,0.11079698343255352,0.2703599553790944,0.47452139699564877,0.13893277815919836
SlogP_VSA12,0.0765585920805961,0.06969169152515108,0.19460819921088368,0.10022042365355459,0.3432222497996333
SlogP_VSA2,0.6733726705540464,0.06981476281965403,0.42362870468726255,0.21561060467715937,0.1379735383949512
SlogP_VSA3,0.36286080151495365,0.17227134147522066,0.0822859851382629,0.024722207081932655,0.06414232638659664
SlogP_VSA4,0.13179618571137683,0.22020434762966398,0.004845830607525732,0.23859747899149317,0.09728457717734611
SlogP_VSA5,0.3733500405907633,0.3085892859134138,0.18420741255492165,0.281461576005988,0.3375033372743433
SlogP_VSA6,0.12604840180216298,0.018278818586833053,0.8219341760938383,0.04192297016757666,0.05766687898228088
SlogP_VSA7,0.04888351967249431,0.07411852617591108,0.2259322918612288,0.10786881136437919,0.17287245540430596
SlogP_VSA8,0.01383130712416948,0.02322472573111253,0.3712975310299359,0.06368551309559657,0.1835221638536205
SlogP_VSA9,0.0,0.0,0.0,0.0,0.0
TPSA,0.5385186322037935,0.7039497329389637,0.23994868463910915,0.04895800964512661,0.10642504796400748
EState_VSA1,0.3988315929589035,0.5357863803575142,0.1406045533106115,0.2968728635563728,0.08587072959205964
