Features,PC1,PC2,PC3,PC4,PC5
fr_methoxy,0.006104797333280246,0.05319149664738393,0.0630136978381761,0.17480659357276299,0.07089287097246966
fr_morpholine,0.06334445824034705,0.12334012902240898,0.04237260615269423,0.09139215405366796,0.07133323403995638
fr_nitrile,0.058817913215783016,0.01156182981497416,0.05507254903355114,0.022184946767649382,0.06578702075731739
fr_nitro,7.983310886820172e-05,0.0019318863822920765,0.003653826913956581,0.0001522019478853014,0.003118441838447978
fr_nitro_arom,3.2020689647235524e-06,0.0005486283017121276,0.0015261319070719289,0.00021878152152792624,0.0009352970546196919
fr_nitro_arom_nonortho,3.2020689647235524e-06,0.0005486283017121276,0.0015261319070719289,0.0002187815215279261,0.0009352970546196912
fr_nitroso,0.0,0.0,0.0,0.0,0.0
fr_oxazole,0.04395658886391791,0.0069575531431305005,0.023767051961150625,0.008404741887310321,0.05219010444803023
fr_oxime,0.033780469799744806,0.04420163217491653,0.02052686167764526,0.028414378181906005,0.008340160556859232
fr_para_hydroxylation,0.05741761256292761,0.019875316982942273,0.2075623439062251,0.05922181933664622,0.06004320561367675
fr_phenol,0.021893524769099414,0.12953885876164348,0.18361499012210056,0.35563030593445755,0.1625785536363966
fr_phenol_noOrthoHbond,0.02138124387835517,0.12772072862530404,0.18232220931112172,0.35433608634195196,0.1611434444244551
fr_phos_acid,0.0,0.0,0.0,0.0,0.0
fr_phos_ester,0.0,0.0,0.0,0.0,0.0
fr_piperdine,0.2011468718074255,0.35951610585317784,0.17547384039819805,0.06758200408002277,0.059852667688685864
fr_piperzine,0.1686035171687123,0.21595943286573102,0.09081994572378377,0.04435878785320556,0.1246670212872369
fr_priamide,0.12930591833034716,0.28598429390382163,0.017668592636735193,0.24040359942495115,0.06290759533996436
fr_prisulfonamd,0.0,0.0,0.0,0.0,0.0
fr_pyridine,0.05321856436125805,0.012250121783780567,0.05179167556274178,0.08583142885551512,0.20944734963132003
fr_quatN,0.13977198937140392,0.4146799546540956,0.2638114981748083,0.03801003496222027,0.07593082445081914
fr_sulfide,0.01009022807102145,0.04098695203826879,0.008465142471404693,0.044184884058483545,0.10211504112879025
fr_sulfonamd,0.10799781958657757,0.08386931680858085,0.15384695031512344,0.21043365702156666,0.2695954371779217
fr_sulfone,0.03406818625947184,0.048126371780279786,0.09713613457128593,0.15383545095637438,0.12115080203706928
fr_term_acetylene,0.07767074699536765,0.017319930187200464,0.010643429333914385,0.012042769328846454,0.0186043023596715
fr_tetrazole,0.028319452325374132,0.012311320872084927,0.08837708576234596,0.015419089894755192,0.14272461081718163
fr_thiazole,0.03482915504361473,0.02022079329626442,0.032320953221569866,0.014362651922995795,0.20656704507321755
fr_thiocyan,0.0,0.0,0.0,0.0,0.0
fr_thiophene,0.01686608845392056,0.015417393119193759,0.021863540147054213,0.004179609356415877,0.11100429178246991
fr_unbrch_alkane,0.0105617748655868,0.0008943175243374093,0.04139157729518412,0.09749642664855082,0.10158000923643498
fr_urea,0.12280362783886051,0.010786859935518348,0.03642200293813724,0.0970542443111436,0.12929057356554047
